Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
50,13653,4788,Unemployed,26,Married,2,639,,0.44,7396,37449,37903,12,Business,Rural,Graduate,Male,Private,No
51,12805,5490,Unemployed,24,Married,1,653,0,0.57,7338,18891,9711,60,Education,Urban,Graduate,Male,Private,No
52,15417,4124,Contract,49,Married,2,672,4,0.23,9950,36196,8904,12,Home,Rural,Graduate,Female,MNC,Yes
53,9989,8340,Salaried,54,Married,2,735,2,0.51,12500,29928,36051,36,Business,Urban,Graduate,Female,Unemployed,No
54,11692,3850,Salaried,37,Married,1,799,4,,11545,7494,21942,84,Home,Urban,Graduate,Female,MNC,Yes
55,14990,5415,Self-employed,36,Single,1,625,1,0.37,5241,36723,25251,12,Education,Rural,Not Graduate,Female,Unemployed,No
56,,7679,Contract,22,Single,3,679,4,0.14,4695,29877,26058,48,Personal,Rural,Graduate,Male,Private,Yes
57,7675,6819,Salaried,54,Married,,752,1,0.57,11530,27981,36245,84,Car,Urban,Graduate,Male,Private,No
58,2161,9328,Salaried,,Married,2,657,1,0.48,14312,14026,4093,12,Business,Urban,Graduate,Female,Government,No
59,6297,8378,Salaried,33,Married,1,705,1,0.43,18972,20422,25918,84,Education,Urban,Graduate,Male,MNC,No
60,2995,9442,Self-employed,28,Married,0,631,1,0.51,14318,9244,8207,24,Education,Urban,Not Graduate,Female,Private,No
61,13534,1333,Contract,50,Married,1,,1,0.42,18166,33481,,,Home,Urban,Graduate,Male,Unemployed,No
62,9629,4150,Contract,52,Married,2,778,3,0.58,19904,23644,27974,36,Home,Urban,Not Graduate,Male,Business,No
63,3016,6766,Salaried,56,Single,1,763,4,0.46,11324,43848,29172,84,Car,Rural,Graduate,Male,,No
64,10529,2711,Unemployed,50,Married,3,753,3,0.56,3218,8521,33283,72,Home,Rural,,Female,Private,No
65,19262,4853,,21,Married,0,551,3,0.36,4016,1746,39995,60,Business,Urban,Graduate,Female,Government,No
66,11268,6212,Salaried,59,Married,1,676,0,0.16,2837,17591,14280,48,Business,,Not Graduate,Male,MNC,Yes
67,14185,7479,Salaried,37,Married,3,778,0,0.36,16312,26718,37303,,Business,Urban,Not Graduate,Male,MNC,Yes
68,8331,5408,Salaried,40,Married,2,684,0,0.16,7034,49936,28453,36,Personal,,Graduate,Male,Private,Yes
69,10571,9977,Salaried,44,Single,1,575,2,0.4,,2696,3913,24,Business,Semiurban,Not Graduate,Male,Unemployed,No
70,9208,7715,Unemployed,42,Married,2,767,,0.34,14379,12012,26765,12,Home,Rural,Graduate,Female,MNC,Yes
71,7276,8942,Salaried,49,Single,3,637,4,0.41,4239,14688,3340,,Home,Rural,Not Graduate,Male,Private,No
72,18448,1762,Contract,42,Married,2,753,3,0.11,12128,23457,27179,24,Business,Semiurban,Graduate,Male,Private,Yes
73,18216,7101,Salaried,29,Married,3,565,4,0.2,15856,,28873,12,Education,Urban,Graduate,Male,Government,No
74,10006,7674,Salaried,,Married,3,700,0,0.35,9611,39895,39057,60,Education,,Graduate,Male,Government,Yes
75,4568,6122,Salaried,30,Single,3,717,2,0.58,4150,29960,1597,36,Education,Rural,Not Graduate,Female,Business,No
76,4027,481,Salaried,56,Married,1,737,2,0.29,11109,36486,30119,36,,Urban,Not Graduate,Male,Private,No
77,4695,153,Salaried,57,Single,2,622,3,0.31,1446,22159,16025,84,Personal,Rural,Not Graduate,Male,Business,No
,17422,7617,Unemployed,48,Married,2,581,4,0.46,11936,7910,8145,84,Business,Rural,Not Graduate,Female,Business,No
79,7258,1524,Self-employed,48,Single,0,564,1,0.4,11036,2693,36670,24,Car,Rural,Graduate,Male,Private,No
80,8736,2120,Self-employed,41,Married,0,778,4,0.25,6468,49777,8694,72,Education,Urban,,Female,Government,Yes
81,,2343,Salaried,44,Single,0,690,0,0.31,,15858,5830,84,Business,Rural,Not Graduate,Male,Private,No
,15986,5136,Salaried,22,Married,0,554,1,0.21,4175,28810,24930,48,Car,Rural,Graduate,Male,Private,No
83,14666,5760,Salaried,28,Single,2,752,2,0.58,15390,20092,24752,60,Home,Semiurban,Graduate,Male,Government,No
84,7892,1240,Self-employed,47,Married,3,623,3,0.17,5080,23243,11489,,Education,Rural,Graduate,Male,Unemployed,No
85,5561,60,Salaried,42,Married,3,601,3,0.29,15471,48700,33692,36,,Semiurban,Not Graduate,Male,Private,No
86,8184,9130,,57,Married,1,626,2,0.11,14893,,16768,48,Home,Urban,Not Graduate,Male,Private,No
87,10392,1639,Self-employed,47,Single,3,718,0,0.21,17248,,3160,12,Education,Urban,Not Graduate,Male,Private,Yes
88,15067,6185,Salaried,49,Married,2,730,2,0.49,16009,28555,21133,60,Personal,Urban,Not Graduate,Male,Private,No
89,17265,7970,Salaried,23,Single,2,659,0,0.2,6217,6398,36690,48,Education,Urban,Not Graduate,Female,Government,Yes
90,4454,,Salaried,33,Married,,727,1,0.14,5672,7252,23870,12,Personal,Semiurban,Not Graduate,Female,Business,No
91,13837,4203,Unemployed,30,Married,1,692,2,0.34,1502,11721,25496,24,,Semiurban,Not Graduate,Male,Private,Yes
92,16039,8363,Self-employed,56,Married,0,655,0,0.1,1410,17939,37572,48,Personal,Urban,,Male,Unemployed,Yes
93,12965,9650,Salaried,29,Single,3,797,1,0.14,3770,11825,3368,60,Business,Urban,Graduate,Female,Private,Yes
94,11762,3549,Salaried,47,Single,2,676,2,0.5,10097,25251,37700,12,Business,Urban,Graduate,Female,MNC,No
95,7056,4197,Unemployed,54,Single,,556,3,0.49,4001,36955,30203,48,Personal,Semiurban,Not Graduate,Male,MNC,No
96,16948,7009,Self-employed,21,Married,0,589,2,0.56,19867,,12552,24,Home,Urban,Graduate,,Government,No
97,10110,6667,Salaried,52,Single,2,705,4,0.53,598,36,6608,48,Personal,Urban,Graduate,Male,Private,No
98,15773,2322,Contract,45,Single,3,709,2,0.44,,28412,23485,12,Car,Urban,Graduate,Male,Government,No
99,,,Salaried,49,Married,1,,4,0.13,19425,18171,10862,,Personal,Urban,Graduate,Female,Business,No
100,2502,4090,Self-employed,27,Single,2,692,1,0.49,6391,39051,39299,60,Business,Semiurban,Graduate,,MNC,No
101,8910,6960,Self-employed,23,Single,3,789,2,0.52,16450,32761,11412,36,Business,Urban,Graduate,Female,Government,
102,14685,3004,Salaried,40,Single,2,777,1,0.5,14908,15202,22354,12,Car,Urban,Graduate,Male,Government,No
103,2206,5136,Unemployed,40,Single,0,634,1,0.35,11590,8060,7344,12,Car,Urban,Graduate,Male,MNC,No
104,19868,329,Contract,50,Married,2,747,0,0.22,16279,8065,18993,12,Education,Urban,Graduate,Female,Unemployed,Yes
105,17934,3640,Self-employed,55,Married,2,614,1,0.52,2750,29873,29682,12,Home,Rural,Graduate,Male,Business,No
106,19247,7982,Salaried,55,Single,1,681,1,0.46,9916,36648,29415,48,Home,Urban,Graduate,Male,MNC,No
107,10755,4107,Salaried,59,Married,0,560,2,,6806,5932,20323,60,Home,Urban,Graduate,,Government,No
108,14383,1341,Salaried,47,Single,0,657,2,0.18,6429,26470,18997,24,Business,Semiurban,Graduate,Male,Business,Yes
,16820,8407,Contract,46,Single,1,,3,0.21,8123,8328,4679,60,Home,Urban,Graduate,Male,,No
110,9574,338,Salaried,34,Single,2,738,0,0.21,18015,6333,30489,12,Education,Rural,Not Graduate,Male,Business,Yes
111,8374,5895,Self-employed,37,Single,3,714,1,0.5,6452,46638,10488,72,Education,Urban,Graduate,Female,,No
112,3678,2708,Contract,38,Married,0,700,0,0.19,17158,11268,4996,48,Home,Urban,Graduate,Female,Government,Yes
113,3059,1750,Salaried,49,Married,0,770,4,0.13,15456,5067,6695,72,Car,Rural,Graduate,Male,Government,No
114,18198,5604,Self-employed,40,Married,2,634,1,0.6,4019,48384,31204,48,Education,Semiurban,Graduate,Female,Private,No
115,11914,2421,Salaried,47,Married,,789,0,0.11,12419,,,12,Car,Rural,Graduate,Male,Private,Yes
116,12817,7119,Unemployed,38,Married,0,786,3,0.52,929,17045,15235,48,Business,Urban,Graduate,Male,MNC,No
117,12921,8901,Salaried,24,Married,2,786,3,0.28,19396,,3366,12,Education,Urban,Graduate,Female,Government,Yes
118,11789,5319,Salaried,21,Single,3,790,1,0.52,6264,22770,28467,60,Car,Urban,Graduate,Male,Private,No
119,18312,6609,Salaried,21,Single,0,768,4,0.38,7973,42770,7764,84,Home,Rural,Graduate,Male,MNC,Yes
120,13252,5387,Salaried,46,,3,780,3,0.55,9697,7887,,36,Business,Rural,,Female,MNC,No
121,4693,3993,Contract,40,Married,3,,3,0.56,11136,33182,32923,48,Personal,Urban,Graduate,Female,Government,No
,15931,8680,Contract,43,Single,2,754,4,,19203,32370,31175,12,Personal,Rural,Not Graduate,Male,Private,Yes
123,5627,8044,Self-employed,30,Married,3,700,0,0.14,1184,39618,17292,72,Home,Rural,Graduate,Male,,
124,18157,8238,Salaried,31,Married,2,672,3,0.23,16911,24918,2614,12,Business,Urban,Graduate,Male,MNC,Yes
125,12173,4873,,25,Married,1,,2,0.43,916,35497,21939,72,Business,,Graduate,Male,Private,No
126,12230,4806,Salaried,21,Married,2,771,3,0.54,3574,28026,,48,Business,Urban,Not Graduate,Male,Private,No
127,17707,8592,Self-employed,,Married,3,738,0,0.33,3319,11929,24246,24,Business,Urban,Graduate,Male,Government,Yes
128,13494,5913,Contract,42,Single,1,617,0,0.4,17790,47756,32688,72,Personal,Semiurban,Graduate,Female,Business,No
129,3306,7124,Salaried,54,Married,2,653,1,0.19,17625,36665,28962,12,,Urban,Graduate,Male,Private,No
130,8776,3157,Salaried,49,Married,3,629,2,0.5,5206,34937,30764,48,Business,Urban,Graduate,Male,Government,No
131,11474,390,Self-employed,24,Married,0,708,,0.58,19517,13563,33470,12,Car,Rural,Not Graduate,Male,Government,No
132,9526,,Contract,25,Married,0,602,4,0.23,17182,28546,39501,24,Business,Semiurban,Graduate,Male,MNC,No
133,7530,8820,Contract,31,Single,2,,2,,17907,12888,,36,Education,Semiurban,Graduate,Female,Government,Yes
134,5748,7686,Contract,41,Single,2,702,2,0.14,4928,37338,23072,,Education,Rural,,Male,Government,Yes
,15545,4232,Salaried,55,Single,0,593,4,0.38,16105,34283,29242,84,Education,Urban,Graduate,Female,Unemployed,No
136,2663,8007,Salaried,32,Married,3,689,3,0.35,2888,16958,38132,24,Business,Semiurban,Graduate,Female,Private,No
137,3998,1521,Contract,46,Single,3,639,4,0.17,2690,12634,18861,60,Car,Rural,Graduate,Female,Private,No
138,9994,9018,Self-employed,39,Single,3,,4,0.32,4091,19251,5960,48,,Urban,Graduate,Male,MNC,No
139,19879,1500,,27,Single,2,789,3,0.27,13960,46566,19781,24,Home,Semiurban,Not Graduate,Female,Private,Yes
140,5304,6737,Contract,27,Married,1,646,3,0.36,690,19928,32126,36,Personal,Urban,Graduate,Male,MNC,No
141,15808,3294,Contract,46,Married,1,769,3,0.39,1495,37245,23578,12,Business,Urban,Not Graduate,Male,Private,Yes
142,8585,,,25,Married,1,558,3,0.1,11085,16455,18883,48,Education,Semiurban,Graduate,Male,,No
143,19675,2419,Self-employed,41,Single,1,561,3,0.48,17276,27144,30782,72,Education,Rural,Graduate,Male,Unemployed,No
144,13649,9126,Salaried,,Married,1,618,4,0.46,10720,28013,17979,24,Car,Urban,Graduate,Male,Government,No
145,3636,3042,Self-employed,24,Married,2,731,1,0.28,5873,21876,34746,36,Business,Urban,Not Graduate,Male,Business,No
146,19082,4497,Self-employed,43,Single,2,793,1,0.13,4503,26962,1730,24,Personal,Rural,Graduate,Male,Private,Yes
147,6737,1466,Contract,40,Single,1,731,0,0.48,11720,28084,1056,60,Business,Urban,Graduate,Female,Private,No
148,16555,3561,Contract,35,Single,2,577,1,0.58,13964,42319,32457,84,Business,Urban,Graduate,Male,MNC,No
149,15877,,Contract,49,Married,2,605,1,0.22,897,21143,,84,Education,Rural,Not Graduate,Male,Private,No
150,2854,5392,Salaried,28,Single,1,648,4,0.26,17094,26091,2701,48,Personal,Semiurban,Graduate,Female,Government,No
151,7855,7693,Contract,39,,3,746,3,0.19,3695,14179,,12,,Rural,Graduate,Male,Private,Yes
152,9392,9374,Contract,59,Married,2,,3,,2686,32807,16100,36,Education,Rural,Graduate,Female,Private,Yes
153,15949,3223,Self-employed,48,Married,3,659,4,0.18,5778,10222,1947,24,Personal,Rural,Not Graduate,Female,MNC,Yes
154,7791,7138,Contract,47,Married,2,775,1,0.28,,23949,21505,48,,Rural,Not Graduate,Male,MNC,Yes
155,6931,2667,Contract,24,Married,2,626,4,0.45,16799,16116,7553,24,Education,Urban,Graduate,Male,Business,No
156,2202,7980,Salaried,35,Single,1,652,0,0.38,9663,48817,34525,48,Car,,,Female,Business,No
157,13447,130,Self-employed,55,Married,2,655,3,0.29,4180,37564,15866,84,Education,Urban,Not Graduate,Female,Government,Yes
158,14688,2983,Salaried,57,Single,0,658,,0.31,4262,37374,31472,60,Business,Urban,Not Graduate,Female,Government,Yes
159,6389,,Salaried,,Married,0,661,0,0.38,2515,17667,6651,24,Personal,Urban,Graduate,Male,Business,Yes
160,4327,7126,Self-employed,23,Married,1,607,0,0.1,11236,8775,8273,60,Car,Rural,Not Graduate,Female,Private,No
161,10004,8230,Contract,44,Married,3,627,4,0.14,14104,29655,11033,72,Education,Urban,Graduate,Male,Private,No
162,9777,7694,Salaried,47,Married,3,624,1,0.54,6616,47632,4535,72,Car,Urban,Graduate,Male,Unemployed,No
163,2197,6640,Salaried,56,Married,3,,,0.14,17376,14193,19677,84,Education,Rural,Not Graduate,Male,Private,No
164,3930,5468,Self-employed,54,Married,0,715,2,0.45,4370,14676,18488,36,Education,Semiurban,Graduate,Male,Private,No
165,13774,920,Salaried,49,Married,3,617,0,0.56,18157,30776,1908,60,Home,Rural,Not Graduate,Female,Government,No
166,17087,7564,Salaried,44,Married,3,,2,0.24,19945,43225,5617,48,Home,Urban,Graduate,Female,Business,Yes
,11339,8684,Salaried,44,Married,1,582,1,0.29,3816,17199,31431,36,Home,Urban,Graduate,Female,Government,No
168,13589,9323,Salaried,24,Single,3,620,1,0.38,1756,48812,24453,24,Car,Rural,Not Graduate,Male,Private,No
169,17708,8502,Salaried,23,Married,0,605,2,0.54,2373,15066,36079,24,Business,Urban,Graduate,Male,Unemployed,No
170,19043,8930,Salaried,54,Single,0,654,3,,2576,18895,17020,,Education,Rural,Graduate,Female,Business,No
171,4811,3241,Salaried,43,Single,0,749,1,0.47,4184,246,27562,12,Personal,Urban,Not Graduate,Male,MNC,No
172,16243,545,Contract,43,,1,650,2,0.14,2397,21209,25373,12,Home,Semiurban,Graduate,Female,Private,No
173,8546,4346,Self-employed,25,Single,,600,0,0.43,12674,39284,31164,24,Car,Urban,Graduate,Female,Private,No
174,3986,9996,Contract,51,Married,2,623,2,0.31,10326,16800,2885,84,Car,Urban,Not Graduate,Female,Private,No
175,10338,3810,Salaried,26,Single,3,720,2,0.34,10546,46110,2049,84,Car,Semiurban,Graduate,Male,Private,Yes
176,13411,7206,Salaried,57,Single,1,670,4,0.12,4535,,2161,48,Personal,Urban,Not Graduate,Female,Private,Yes
177,4911,9005,Contract,30,Married,0,692,1,0.2,14599,20101,1815,12,Personal,Urban,Not Graduate,Female,Private,Yes
178,3734,,Salaried,27,Married,0,715,3,0.5,,16491,37534,60,Home,Semiurban,Graduate,Male,Government,No
179,10680,,Salaried,59,Married,1,692,3,,17118,27207,28498,24,Personal,Urban,,Female,Business,Yes
180,7759,271,Self-employed,58,Single,1,554,4,0.25,632,41798,26037,72,Home,Urban,Not Graduate,Male,MNC,No
181,4385,3511,Self-employed,41,Single,1,770,,0.29,13280,20897,37007,60,Personal,Urban,Graduate,Male,Private,No
182,13111,1771,Salaried,40,Married,,632,2,0.53,14746,29492,14942,48,Personal,Urban,Graduate,Female,Government,No
183,6736,9454,Salaried,,Married,0,731,4,0.47,4268,1421,28278,72,Personal,Urban,Graduate,Female,Private,No
184,3802,4361,,42,Married,2,600,0,0.24,19285,32015,9272,60,Home,Rural,Graduate,Female,Government,No
185,10155,7069,Salaried,,,2,559,1,0.16,18047,12970,34637,12,Education,Rural,Graduate,Male,Government,No
186,10120,920,Self-employed,48,Single,3,689,1,0.23,15321,7283,39294,84,Home,Urban,Not Graduate,Male,Government,Yes
187,8616,8190,Contract,32,Married,0,795,1,0.56,10207,28488,8741,12,Education,Urban,Not Graduate,Female,MNC,No
188,16257,3430,,58,Married,0,,2,0.39,5591,15945,5694,72,Car,Semiurban,Graduate,Male,MNC,No
189,16486,4435,Salaried,56,Married,1,644,0,0.37,16226,255,31306,36,Car,Semiurban,Graduate,Male,Business,No
190,18646,3760,Contract,25,Single,1,695,4,0.4,,11019,2934,84,,Urban,Graduate,,MNC,No
191,16075,2050,Self-employed,33,Married,3,629,4,0.28,8572,15487,22556,24,Education,Semiurban,Graduate,Male,Business,No
,11208,1165,Salaried,43,Single,2,781,1,0.5,13579,41797,19907,72,Education,Rural,Not Graduate,Female,MNC,
193,18371,8567,Salaried,50,Married,1,585,0,0.36,19466,19346,,48,Education,Urban,Not Graduate,Female,Government,No
194,13835,2033,Contract,57,Married,1,574,0,0.16,,35050,30158,24,Car,Urban,Not Graduate,Male,Government,No
195,,6467,Salaried,45,Married,0,764,0,0.16,8007,8744,21293,,Home,,Graduate,Male,Business,Yes
196,4049,145,Salaried,47,Married,0,753,3,0.37,15903,24756,34932,84,Business,Semiurban,Graduate,Male,Private,
,7423,4388,Salaried,,Married,1,647,3,0.57,,17861,34387,48,Education,Rural,Graduate,Male,Business,No
198,16589,7832,Contract,56,Single,0,713,1,0.25,4261,25146,4066,48,Education,Rural,Graduate,Male,Unemployed,Yes
199,9158,8623,Contract,59,Single,3,650,0,0.53,2389,42687,22256,12,Business,Urban,Graduate,,Business,No
200,12248,8896,Contract,36,Single,1,744,0,0.48,19937,46103,36105,60,Home,Rural,Not Graduate,Female,Private,No
201,9400,8173,Salaried,42,Married,0,558,4,0.22,13939,21976,,12,Education,Rural,Not Graduate,Female,Private,No
202,11874,2632,Salaried,41,Single,3,,4,0.12,,591,3460,12,Home,Semiurban,Not Graduate,Male,MNC,No
203,17151,4494,Self-employed,41,Married,0,602,1,0.15,9399,6277,7820,84,Education,Urban,Not Graduate,Female,Unemployed,No
,3154,8056,Salaried,28,Married,0,695,0,0.46,544,2260,37210,36,Personal,Rural,Graduate,,,No
205,6499,7511,Salaried,36,Married,0,,1,0.2,2239,43907,17191,12,Education,,Graduate,Male,MNC,Yes
206,8295,9155,Self-employed,51,Married,1,712,4,0.29,10559,347,20095,24,Personal,Rural,Graduate,,MNC,Yes
207,14183,1828,Unemployed,30,Single,2,612,4,,2627,24741,11529,48,Home,Rural,Graduate,Male,Private,No
208,14874,9130,Contract,,Married,0,670,3,0.46,6618,37211,33175,84,Education,Urban,Graduate,Male,MNC,No
209,7539,4805,Contract,54,Married,3,796,1,0.16,12123,43856,18675,12,Car,Rural,,Female,Private,Yes
210,11637,806,Unemployed,29,Single,1,775,1,0.3,,41542,6374,72,Car,Urban,Graduate,Female,Government,Yes
211,17586,9655,Salaried,37,Married,1,654,0,0.34,8015,6869,26976,,Business,Semiurban,Graduate,Male,Government,Yes
212,4557,7486,Self-employed,31,Married,3,755,0,0.37,3130,28082,14142,60,Car,Urban,Graduate,Female,Business,Yes
213,7592,8202,Unemployed,52,Married,,553,3,0.51,16480,22080,13204,48,Personal,Rural,Graduate,Female,,No
214,18482,1868,Salaried,30,Single,2,642,2,0.19,14831,28979,8394,84,Car,Semiurban,Graduate,Male,Government,No
215,4200,7878,Contract,,Single,0,718,2,0.5,2708,19422,34593,72,Car,Urban,Graduate,Male,MNC,No
216,16172,5690,Self-employed,37,Married,3,722,2,0.45,5397,35613,12652,84,Car,Rural,Graduate,Female,MNC,No
217,4961,7827,Self-employed,24,Married,1,727,1,0.38,11528,22993,34740,84,Education,Urban,Not Graduate,Female,,No
218,16207,,Self-employed,45,Married,2,,1,0.45,16840,12386,1443,72,Business,Urban,Graduate,Female,Government,No
219,13969,9076,Unemployed,41,Single,1,577,4,0.31,,34033,24903,60,Home,Rural,Graduate,Female,Private,No
220,4869,3564,Contract,57,Married,3,719,1,0.17,4368,45213,34522,72,Business,Rural,Graduate,Male,Government,No
221,19340,1389,Salaried,58,Married,0,629,1,0.43,11179,12938,29180,24,Personal,Semiurban,Not Graduate,Male,MNC,No
222,15992,,Contract,21,Married,2,625,1,0.36,12076,11159,22119,84,Education,Semiurban,Graduate,Male,Private,No
223,7699,824,Salaried,45,Married,1,665,3,0.42,18321,2274,11363,,Education,Rural,Not Graduate,Male,Unemployed,No
224,5987,,Salaried,56,,1,618,1,0.27,13948,18854,39164,84,Car,Rural,Not Graduate,Female,MNC,No
225,15446,936,Salaried,37,Single,1,647,0,0.55,17530,31815,32541,72,Car,Semiurban,Not Graduate,Female,Business,No
226,3218,6402,Salaried,44,Married,,783,,0.39,13824,10482,4465,60,Personal,Urban,Graduate,Female,Business,Yes
227,,3845,Salaried,22,Married,2,550,4,0.14,4299,18961,3711,60,Education,Urban,Graduate,Male,Government,No
228,13296,1796,Unemployed,,Single,0,716,3,0.32,14120,20044,26198,12,Home,Urban,Graduate,Male,Business,Yes
229,6555,,Contract,52,Single,0,645,0,0.48,8118,33836,23488,12,Business,Semiurban,Graduate,Male,Government,No
230,11146,7214,Self-employed,59,Married,0,767,3,0.5,10756,21975,39515,12,Education,Rural,Graduate,Male,MNC,No
231,10050,726,Salaried,,Married,,566,3,0.35,7953,14706,24608,72,Home,Rural,Not Graduate,Female,Business,No
